"Depth","Actinocyclus.curvatulus","Actinocyclus.dimorphus","Actinocyclus.ingens","Actinocyclus.ingens.var..nodus.","Actinocyclus.karstenii.","Actynocyclus.cf..karsteni","Actinocyclus.maccollumii..","Actinocyclus.spp.","Azpeitia.spp.","Chaetoceros.spp...resting.spores.","Chaetoceros.spp.","Cocconeis.spp.","Corethron.criophilum..","Coscinodiscus.spp.","Dactyliosolen.antarcticus.","Denticulopsis.spp..","Eucampia.antarctica.","Fragilariopsis.arcula..","Fragilariopsis.aurica.","Fragilariopsis.barronii..","Fragilariopsis.bohatyi.","Fragilariopsis.curta.","Fragilariopsis.kerguelensis.transitional.form..","Fragilariopsis.praeinterfrigidaria..","Fragilariopsis.interfrigidaria.","Fragilariopsis.ritscheri..","Fragilariopsis.barronii...ritscheri.transtitional.form","Fragilariopsis.clementia.","Fragilariopsis.spp.","Fragilariopsis.sublinearis.","Fragilariopsis.weaveri.","Proboscia.barboi..","Pyxilla.spp..","Rhizosolenia.antennata.var..semispina","Rhizosolenia.antennata.var..antennata","Rhizosolenia.crassa","Rhizosolenia.simplex","Rhizosolenia.sp..B.of.Harwood.and.Maruyama","Rhizosolenia.spp.","Rouxia.antarctica.","Rouxia.diploneides.","Rouxia.isopolica.","Rouxia.naviculoides.","Rouxia.spp.","Shionodiscus.oestrupi...tetraoestrupii.","Stellarima.microtrias.","Stephanopyxis.spp.","Synedropsis.spp.","Synedropsis.cheethamii.","Thalassiosira.complicata","Thalassiosira.fasciculata","Thalassiosira.insigna","Thalassiosira.inura","Thalassiosira.kolbei","Thalassiosira.lentiginosa","Thalassiosira.oliverana.","Thalassiosira.spp.","Thalassiosira.striata","Thalassiosira.torokina.","Thalassiosira.vulnifica","Thalassiothrix.spp."
64.185,0,0,0.0119047619047619,0,0.0803571428571428,0,0,0,0.0208333333333333,0.151785714285714,0,0,0,0,0.00892857142857143,0.0297619047619048,0,0.00297619047619048,0,0,0.0863095238095238,0.0119047619047619,0,0.0208333333333333,0.0238095238095238,0,0.00595238095238095,0,0.0148809523809524,0.0803571428571428,0.00595238095238095,0,0,0,0,0,0,0.00595238095238095,0.0148809523809524,0.0505952380952381,0,0,0,0.0327380952380952,0.0267857142857143,0.0208333333333333,0.00595238095238095,0.0208333333333333,0,0.00595238095238095,0.0119047619047619,0.0446428571428571,0.0833333333333333,0.00595238095238095,0.0386904761904762,0.0119047619047619,0.0148809523809524,0,0.00892857142857143,0.00595238095238095,0.0327380952380952
64.28,0,0,0.0171919770773639,0,0.0573065902578797,0,0,0,0,0.143266475644699,0.00286532951289398,0,0,0,0,0.0601719197707736,0.0143266475644699,0,0,0,0.137535816618911,0.00286532951289398,0,0.00286532951289398,0,0,0.00286532951289398,0,0.00286532951289398,0.137535816618911,0,0.00573065902578797,0,0,0,0,0.0114613180515759,0.00573065902578797,0,0.0573065902578797,0,0,0,0.0401146131805158,0.0372492836676218,0.00573065902578797,0,0.0229226361031519,0,0.00573065902578797,0.0286532951289398,0.0171919770773639,0.0744985673352436,0,0.00573065902578797,0,0,0,0.0372492836676218,0,0.0630372492836676
64.375,0,0,0,0,0.118598382749326,0,0,0,0.0161725067385445,0.0242587601078167,0.00539083557951483,0,0,0,0,0.00269541778975741,0.0134770889487871,0,0,0.0485175202156334,0.188679245283019,0.00269541778975741,0,0,0.00539083557951483,0,0.032345013477089,0,0.0134770889487871,0.123989218328841,0.00808625336927224,0,0,0,0,0,0.0161725067385445,0,0,0.0188679245283019,0,0,0,0.0161725067385445,0.0485175202156334,0,0,0.0188679245283019,0.00269541778975741,0,0.0619946091644205,0,0.078167115902965,0.00539083557951483,0.0188679245283019,0.00539083557951483,0,0,0.032345013477089,0,0.0727762803234501
64.47,0,0,0,0,0.0840579710144927,0,0,0,0,0.127536231884058,0,0,0,0,0.0115942028985507,0.00579710144927536,0.0289855072463768,0,0,0.00579710144927536,0.165217391304348,0.00579710144927536,0,0,0,0,0.0202898550724638,0,0.00869565217391304,0.130434782608696,0,0.00579710144927536,0,0,0,0,0.00579710144927536,0,0,0.12463768115942,0,0,0,0.0260869565217391,0.0289855072463768,0,0,0,0,0.00579710144927536,0.0115942028985507,0,0.0782608695652174,0.0202898550724638,0.00579710144927536,0.00579710144927536,0.0202898550724638,0,0.0173913043478261,0,0.0492753623188406
64.56,0,0,0.0112994350282486,0,0.0734463276836158,0,0,0,0,0.0706214689265537,0.0225988700564972,0,0,0.0112994350282486,0,0.0112994350282486,0.0254237288135593,0,0.00564971751412429,0.00564971751412429,0.203389830508475,0.00564971751412429,0,0,0.0112994350282486,0,0.00564971751412429,0,0.00282485875706215,0.127118644067797,0,0,0,0,0,0,0,0.00564971751412429,0,0.0649717514124294,0,0.00847457627118644,0.00282485875706215,0.0112994350282486,0.0621468926553672,0,0,0.0254237288135593,0.00282485875706215,0,0.0395480225988701,0,0.0677966101694915,0,0,0.0112994350282486,0,0,0.0564971751412429,0,0.0480225988700565
64.66,0,0,0.00980392156862745,0,0.0326797385620915,0,0,0,0,0.147058823529412,0.0065359477124183,0,0,0,0.0196078431372549,0.0065359477124183,0.00980392156862745,0,0.0065359477124183,0.0130718954248366,0.183006535947712,0.0065359477124183,0,0,0,0.0326797385620915,0.0065359477124183,0,0,0.156862745098039,0,0,0,0,0,0,0.0065359477124183,0,0,0.0882352941176471,0,0.00980392156862745,0.00980392156862745,0.0261437908496732,0.0457516339869281,0.00980392156862745,0,0.0130718954248366,0,0,0.0196078431372549,0,0.0686274509803922,0,0,0.0196078431372549,0,0,0,0,0.0457516339869281
64.75,0,0,0.0119760479041916,0,0.062874251497006,0,0,0,0,0.0479041916167665,0,0,0,0,0,0.00598802395209581,0.0119760479041916,0,0.029940119760479,0.0239520958083832,0.194610778443114,0.00598802395209581,0,0,0.029940119760479,0.00598802395209581,0.0209580838323353,0,0.029940119760479,0.119760479041916,0,0.0119760479041916,0,0,0,0.0029940119760479,0.0149700598802395,0,0,0.0568862275449102,0,0,0,0.029940119760479,0.0449101796407186,0,0.0209580838323353,0.00898203592814371,0,0,0.0119760479041916,0,0.0658682634730539,0,0,0,0,0,0.0538922155688623,0,0.0748502994011976
64.94,0,0,0.0325732899022801,0,0.0781758957654723,0,0,0,0.00325732899022801,0.0618892508143322,0,0,0,0,0,0.0195439739413681,0.00651465798045603,0,0,0.0390879478827362,0.120521172638436,0,0,0,0.0195439739413681,0.0195439739413681,0,0,0.0130293159609121,0.127035830618893,0,0,0,0,0,0,0,0,0,0.0390879478827362,0,0,0,0.0912052117263843,0.0293159609120521,0.0130293159609121,0.00651465798045603,0,0.0130293159609121,0.0130293159609121,0.00651465798045603,0,0.0651465798045603,0.0130293159609121,0,0.00977198697068404,0.00977198697068404,0,0.0195439739413681,0,0.130293159609121
65.04,0,0,0.0398671096345515,0,0.0730897009966777,0,0,0,0,0.0830564784053156,0.0132890365448505,0,0,0,0,0.0199335548172757,0.00664451827242525,0,0,0.0332225913621262,0.12624584717608,0,0,0,0.00996677740863787,0.00996677740863787,0.0232558139534884,0,0,0.106312292358804,0,0.0166112956810631,0,0,0,0,0.00664451827242525,0,0,0.0498338870431894,0,0,0,0.0465116279069767,0.026578073089701,0.0199335548172757,0.0332225913621262,0,0,0.0132890365448505,0,0,0.079734219269103,0.00332225913621262,0,0.0132890365448505,0.00664451827242525,0,0.0299003322259136,0,0.109634551495017
67.03,0,0,0.314516129032258,0.0161290322580645,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0.153225806451613,0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0.0483870967741935,0,0,0,0,0,0,0.00806451612903226,0,0,0,0,0,0,0,0,0,0.112903225806452,0,0,0,0,0,0,0.0483870967741935,0,0.0403225806451613,0,0,0,0,0
